id,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,street,neighbourhood,latitude,longitude,PropertyType,RoomType,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,has_availability
262478,0.5,0,1,1,"New York, NY, United States",Manhattan,40.7193,-73.98966,Apartment,Private room,2,1,1,1,Real Bed,80,1,75,5,1
263232,0,0,1,0,"New York, NY, United States",Brooklyn,40.82151,-73.94516,Apartment,Entire home/apt,4,1,1,2,Real Bed,155,1,0,1,1
265036,1,1,1,1,"Brooklyn, NY, United States",Queens,40.6711,-73.95231,Apartment,Private room,2,1,1,1,Real Bed,99,1,0,2,1
265506,,0,1,1,"New York, NY, United States",Brooklyn,40.76128,-73.96463,Apartment,Entire home/apt,6,1,2,3,Real Bed,485,4,50,7,1
265831,1,0,1,0,"New York, NY, United States",Brooklyn,40.72313,-73.99438,Loft,Entire home/apt,3,1,2,2,Real Bed,310,3,0,5,1
265912,0.2,0,2,1,"Brooklyn, NY, United States",Manhattan,40.7177,-73.95576,Loft,Entire home/apt,2,1,1,1,Real Bed,110,1,25,4,1
266155,1,1,5,1,"New York, NY, United States",Brooklyn,40.78304,-73.97447,Apartment,Entire home/apt,4,1,1,2,Real Bed,167,3,0,30,1
266351,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.68737,-73.97125,Apartment,Entire home/apt,3,1,1,2,Real Bed,147,1,10,15,1
266437,0.94,0,5,1,"New York, NY, United States",Brooklyn,40.74139,-74.0005,Apartment,Entire home/apt,5,1,2,3,Real Bed,220,1,0,4,1
267376,0.93,1,1,1,"New York, NY, United States",Brooklyn,40.70741,-74.00102,Apartment,Private room,1,1,1,1,Real Bed,65,1,0,30,1
267652,1,0,1,1,"Brooklyn, NY, United States",Staten Island,40.64277,-73.97296,Apartment,Private room,2,1,1,1,Real Bed,60,1,10,2,1
268481,,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.71647,-73.93974,Condominium,Entire home/apt,4,2,2,2,Real Bed,290,2,15,30,1
270315,1,1,3,1,"Brooklyn, NY, United States",Bronx,40.68812,-73.93254,House,Private room,1,1,1,1,Real Bed,34,1,25,10,1
270681,,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.71028,-73.96128,Apartment,Private room,2,1,1,1,Real Bed,75,1,25,2,1
271128,1,1,5,1,"Brooklyn, NY, United States",Manhattan,40.68884,-73.95059,Apartment,Private room,1,1,1,1,Real Bed,60,1,0,5,1
271950,,0,1,0,"New York, NY, United States",Manhattan,40.76373,-73.96897,Apartment,Entire home/apt,4,1,1,3,Pull-out Sofa,300,1,0,3,1
272427,1,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.72723,-73.95728,Apartment,Private room,1,1,1,1,Futon,60,1,55,4,1
272706,,0,1,0,"Brooklyn, NY, United States",Manhattan,40.69135,-73.97321,Apartment,Entire home/apt,2,1,1,1,Real Bed,88,2,25,5,1
273256,,0,1,0,"New York, NY, United States",Manhattan,40.79793,-73.93612,Apartment,Private room,1,1,1,1,Real Bed,200,1,100,6,1
